Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,Rank,AVG Rank,High Rank
Bears,137,620,1,28,0,1,1,1,1,1
Bears,137,620,1,32,0,1,1,1,,
Bears,137,620,1,36,0,1,1,1,,
Bears,137,620,1,37,0,1,1,1,,
Bears,137,620,1,39,0,1,1,1,,
Bears,137,620,1,43,0,1,1,1,,
Bears,137,620,1,45,0,1,1,1,,
Bears,137,620,1,46,0,1,1,1,,
Bears,137,620,1,49,0,1,1,1,,
Bears,137,620,1,52,0,1,1,1,,
Bears,137,620,1,53,0,1,1,1,,
Bears,137,620,1,33,0,0,0,12,,
Bears,137,620,1,38,0,0,0,12,,
Bears,137,620,1,40,0,0,0,12,,
Bears,137,620,1,47,0,0,0,12,,
Bears,137,620,1,56,0,0,0,12,,
