Csv,2,43,1,84,6,1,0.8775510204,1,1,,
Csv,2,43,1,85,6,1,0.8775510204,1,1,,
Csv,2,43,1,80,7,1,0.86,2,3,,
Csv,2,43,1,50,36,0,0,3,4,,
Csv,2,43,1,51,36,0,0,3,4,,
Csv,2,43,1,52,36,0,0,3,4,,
Csv,2,43,1,53,36,0,0,3,4,,
Csv,2,43,1,64,5,0,0,3,4,,
Csv,2,43,1,81,1,0,0,3,4,,
Csv,2,43,1,96,2,0,0,3,4,,
Csv,2,43,1,107,4,0,0,3,4,,
Csv,2,43,1,118,2,0,0,3,4,,
Csv,2,43,1,127,2,0,0,3,4,,
Csv,2,43,1,131,16,0,0,3,4,,
Csv,2,43,1,141,2,0,0,3,4,,
Csv,2,43,1,150,4,0,0,3,4,,
Csv,2,43,1,159,5,0,0,3,4,,"4,4"
Csv,2,43,1,164,5,0,0,3,4,,
Csv,2,43,1,1_1,0,0,0,3,4,,
Csv,2,43,1,1_2,0,0,0,3,4,,
Csv,2,43,1,1_3,0,0,0,3,4,,
Csv,2,43,1,1_4,0,0,0,3,4,,
Csv,2,43,1,1_5,0,0,0,3,4,,
Csv,2,43,1,1_6,0,0,0,3,4,,
Csv,2,43,1,1_7,0,0,0,3,4,,
,,,,,,,,,,,
,,,"Csv,2,4,4",,,,,,,,
