Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,Rank,AVG Rank,High Rank
Bears,130,283,128,112,0,1,1,1,1,1
Bears,130,283,128,114,0,1,1,1,,
Bears,130,283,128,115,0,1,1,1,,
Bears,130,283,128,116,0,1,1,1,,
Bears,130,283,128,304,0,1,1,1,,
Bears,130,283,128,308,0,1,1,1,,
Bears,130,283,128,311,0,1,1,1,,
Bears,130,283,128,312,0,1,1,1,,
Bears,130,283,128,314,0,1,1,1,,
Bears,130,283,128,315,0,1,1,1,,
Bears,130,283,128,325,0,1,1,1,,
Bears,130,283,128,326,0,1,1,1,,
Bears,130,283,128,39,134,1,0.01623171781,13,,
Bears,130,283,128,40,134,1,0.01623171781,13,,
Bears,130,283,128,87,0,0,0,15,,
Bears,130,283,128,88,0,0,0,15,,
Bears,130,283,128,89,0,0,0,15,,
Bears,130,283,128,90,0,0,0,15,,
Bears,130,283,128,91,0,0,0,15,,
Bears,130,283,128,92,0,0,0,15,,
Bears,130,283,128,93,0,0,0,15,,
Bears,130,283,128,94,0,0,0,15,,
Bears,130,283,128,95,0,0,0,15,,
Bears,130,283,128,96,0,0,0,15,,
Bears,130,283,128,97,0,0,0,15,,
Bears,130,283,128,98,0,0,0,15,,
Bears,130,283,128,99,0,0,0,15,,
Bears,130,283,128,100,0,0,0,15,,
Bears,130,283,128,101,0,0,0,15,,
Bears,130,283,128,102,0,0,0,15,,
Bears,130,283,128,103,0,0,0,15,,
Bears,130,283,128,104,0,0,0,15,,
Bears,130,283,128,105,0,0,0,15,,
Bears,130,283,128,106,0,0,0,15,,
Bears,130,283,128,107,0,0,0,15,,
Bears,130,283,128,119,0,0,0,15,,
Bears,130,283,128,120,0,0,0,15,,
Bears,130,283,128,122,0,0,0,15,,
Bears,130,283,128,123,0,0,0,15,,
Bears,130,283,128,124,0,0,0,15,,
Bears,130,283,128,126,0,0,0,15,,
Bears,130,283,128,128,0,0,0,15,,
Bears,130,283,128,129,0,0,0,15,,
Bears,130,283,128,130,0,0,0,15,,
Bears,130,283,128,132,0,0,0,15,,
Bears,130,283,128,133,0,0,0,15,,
Bears,130,283,128,135,0,0,0,15,,
Bears,130,283,128,137,0,0,0,15,,
Bears,130,283,128,139,0,0,0,15,,
Bears,130,283,128,140,0,0,0,15,,
Bears,130,283,128,142,0,0,0,15,,
Bears,130,283,128,143,0,0,0,15,,
Bears,130,283,128,145,0,0,0,15,,
Bears,130,283,128,147,0,0,0,15,,
Bears,130,283,128,149,0,0,0,15,,
Bears,130,283,128,150,0,0,0,15,,
Bears,130,283,128,152,0,0,0,15,,
Bears,130,283,128,155,0,0,0,15,,
Bears,130,283,128,157,0,0,0,15,,
Bears,130,283,128,158,0,0,0,15,,
Bears,130,283,128,159,0,0,0,15,,
Bears,130,283,128,163,0,0,0,15,,
Bears,130,283,128,164,0,0,0,15,,
Bears,130,283,128,165,0,0,0,15,,
Bears,130,283,128,167,0,0,0,15,,
Bears,130,283,128,168,0,0,0,15,,
Bears,130,283,128,169,0,0,0,15,,
Bears,130,283,128,170,0,0,0,15,,
Bears,130,283,128,171,0,0,0,15,,
Bears,130,283,128,172,0,0,0,15,,
Bears,130,283,128,173,0,0,0,15,,
Bears,130,283,128,174,0,0,0,15,,
