Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,rank,new_rank,,
Codec,2,41,2,324,2,1,0.9111111111,1,1,,
Codec,2,41,2,339,4,2,0.9111111111,1,1,,
Codec,2,41,2,340,4,2,0.9111111111,1,1,,
Codec,2,41,2,341,4,2,0.9111111111,1,1,,
Codec,2,41,2,262,5,2,0.8913043478,2,5,,
Codec,2,41,2,447,7,2,0.8541666667,3,6,,
Codec,2,41,2,448,7,2,0.8541666667,3,6,,
Codec,2,41,2,423,12,2,0.7735849057,4,8,,
Codec,2,41,2,415,25,2,0.6212121212,5,9,,"Codec_2,9,9"
Codec,2,41,2,420,25,2,0.6212121212,5,9,,
Codec,2,41,2,421,25,2,0.6212121212,5,9,,
Codec,2,41,2,422,25,2,0.6212121212,5,9,,
Codec,2,41,2,425,25,2,0.6212121212,5,9,,
Codec,2,41,2,446,25,2,0.6212121212,5,9,,
Codec,2,41,2,338,31,2,0.5694444444,6,15,,
Codec,2,41,2,333,32,2,0.5616438356,7,16,,
Codec,2,41,2,362,32,2,0.5616438356,,16,,
Codec,2,41,2,363,32,2,0.5616438356,,16,,
Codec,2,41,2,364,32,2,0.5616438356,,16,,
Codec,2,41,2,365,32,2,0.5616438356,,16,,
Codec,2,41,2,366,32,2,0.5616438356,,16,,
Codec,2,41,2,367,32,2,0.5616438356,,16,,
Codec,2,41,2,375,32,2,0.5616438356,,16,,
Codec,2,41,2,292,35,2,0.5394736842,,24,,
Codec,2,41,2,288,38,2,0.5189873418,,25,,
Codec,2,41,2,289,38,2,0.5189873418,,25,,
Codec,2,41,2,290,38,2,0.5189873418,,25,,
Codec,2,41,2,291,38,2,0.5189873418,,25,,
Codec,2,41,2,296,38,2,0.5189873418,,25,,
Codec,2,41,2,297,38,2,0.5189873418,,25,,
Codec,2,41,2,306,38,2,0.5189873418,,25,,
Codec,2,41,2,583,38,2,0.5189873418,,,,
Codec,2,41,2,584,38,2,0.5189873418,,,,
Codec,2,41,2,588,38,2,0.5189873418,,,,
Codec,2,41,2,554,39,2,0.5125,,,,
Codec,2,41,2,368,32,1,0.3904761905,,,,
Codec,2,41,2,211,32,0,0,,,,
Codec,2,41,2,224,35,0,0,,,,
Codec,2,41,2,241,1,0,0,,,,
Codec,2,41,2,294,24,0,0,,,,
Codec,2,41,2,298,1,0,0,,,,
Codec,2,41,2,299,1,0,0,,,,
Codec,2,41,2,300,1,0,0,,,,
Codec,2,41,2,304,1,0,0,,,,
Codec,2,41,2,315,1,0,0,,,,
Codec,2,41,2,343,29,0,0,,,,
Codec,2,41,2,344,29,0,0,,,,
Codec,2,41,2,345,29,0,0,,,,
Codec,2,41,2,373,2,0,0,,,,
Codec,2,41,2,377,2,0,0,,,,
Codec,2,41,2,391,33,0,0,,,,
Codec,2,41,2,392,33,0,0,,,,
Codec,2,41,2,393,33,0,0,,,,
Codec,2,41,2,394,33,0,0,,,,
Codec,2,41,2,416,2,0,0,,,,
Codec,2,41,2,426,11,0,0,,,,
Codec,2,41,2,427,11,0,0,,,,
Codec,2,41,2,428,11,0,0,,,,
Codec,2,41,2,430,11,0,0,,,,
Codec,2,41,2,431,11,0,0,,,,
Codec,2,41,2,432,11,0,0,,,,
Codec,2,41,2,434,11,0,0,,,,
Codec,2,41,2,436,15,0,0,,,,
Codec,2,41,2,437,15,0,0,,,,
Codec,2,41,2,438,15,0,0,,,,
Codec,2,41,2,439,15,0,0,,,,
Codec,2,41,2,441,15,0,0,,,,
Codec,2,41,2,442,15,0,0,,,,
Codec,2,41,2,444,15,0,0,,,,
Codec,2,41,2,451,25,0,0,,,,
Codec,2,41,2,452,25,0,0,,,,
Codec,2,41,2,453,4,0,0,,,,
Codec,2,41,2,455,25,0,0,,,,
Codec,2,41,2,456,25,0,0,,,,
Codec,2,41,2,457,25,0,0,,,,
Codec,2,41,2,458,25,0,0,,,,
Codec,2,41,2,459,25,0,0,,,,
Codec,2,41,2,460,22,0,0,,,,
Codec,2,41,2,461,22,0,0,,,,
Codec,2,41,2,462,22,0,0,,,,
Codec,2,41,2,463,22,0,0,,,,
Codec,2,41,2,464,22,0,0,,,,
Codec,2,41,2,465,22,0,0,,,,
Codec,2,41,2,466,5,0,0,,,,
Codec,2,41,2,467,5,0,0,,,,
Codec,2,41,2,468,5,0,0,,,,
Codec,2,41,2,497,29,0,0,,,,
Codec,2,41,2,498,23,0,0,,,,
Codec,2,41,2,500,29,0,0,,,,
Codec,2,41,2,501,12,0,0,,,,
Codec,2,41,2,503,29,0,0,,,,
Codec,2,41,2,504,29,0,0,,,,
Codec,2,41,2,505,27,0,0,,,,
Codec,2,41,2,507,29,0,0,,,,
Codec,2,41,2,508,29,0,0,,,,
Codec,2,41,2,510,23,0,0,,,,
Codec,2,41,2,511,23,0,0,,,,
Codec,2,41,2,513,28,0,0,,,,
Codec,2,41,2,514,28,0,0,,,,
Codec,2,41,2,515,28,0,0,,,,
Codec,2,41,2,516,26,0,0,,,,
Codec,2,41,2,517,26,0,0,,,,
Codec,2,41,2,518,26,0,0,,,,
Codec,2,41,2,519,22,0,0,,,,
Codec,2,41,2,520,22,0,0,,,,
Codec,2,41,2,521,22,0,0,,,,
Codec,2,41,2,531,29,0,0,,,,
Codec,2,41,2,532,22,0,0,,,,
Codec,2,41,2,533,22,0,0,,,,
Codec,2,41,2,534,14,0,0,,,,
Codec,2,41,2,535,14,0,0,,,,
Codec,2,41,2,536,14,0,0,,,,
Codec,2,41,2,537,14,0,0,,,,
Codec,2,41,2,538,15,0,0,,,,
Codec,2,41,2,539,15,0,0,,,,
Codec,2,41,2,540,15,0,0,,,,
Codec,2,41,2,541,15,0,0,,,,
Codec,2,41,2,567,4,0,0,,,,
Codec,2,41,2,568,4,0,0,,,,
Codec,2,41,2,569,2,0,0,,,,
Codec,2,41,2,572,3,0,0,,,,
Codec,2,41,2,585,1,0,0,,,,
Codec,2,41,2,599,15,0,0,,,,
Codec,2,41,2,611,1,0,0,,,,
Codec,2,41,2,623,3,0,0,,,,
Codec,2,41,2,637,2,0,0,,,,
Codec,2,41,2,638,1,0,0,,,,
Codec,2,41,2,640,1,0,0,,,,
Codec,2,41,2,651,2,0,0,,,,
Codec,2,41,2,666,21,0,0,,,,
Codec,2,41,2,683,22,0,0,,,,
Codec,2,41,2,684,2,0,0,,,,
Codec,2,41,2,686,21,0,0,,,,
Codec,2,41,2,687,21,0,0,,,,
Codec,2,41,2,688,21,0,0,,,,
Codec,2,41,2,689,21,0,0,,,,
Codec,2,41,2,690,15,0,0,,,,
Codec,2,41,2,692,21,0,0,,,,
Codec,2,41,2,693,3,0,0,,,,
Codec,2,41,2,695,21,0,0,,,,
Codec,2,41,2,699,21,0,0,,,,
Codec,2,41,2,700,21,0,0,,,,
Codec,2,41,2,701,21,0,0,,,,
Codec,2,41,2,702,21,0,0,,,,
Codec,2,41,2,704,21,0,0,,,,
Codec,2,41,2,705,9,0,0,,,,
Codec,2,41,2,709,21,0,0,,,,
Codec,2,41,2,710,1,0,0,,,,
Codec,2,41,2,711,1,0,0,,,,
Codec,2,41,2,712,1,0,0,,,,
Codec,2,41,2,714,21,0,0,,,,
Codec,2,41,2,724,26,0,0,,,,
Codec,2,41,2,725,3,0,0,,,,
Codec,2,41,2,727,25,0,0,,,,
Codec,2,41,2,728,25,0,0,,,,
Codec,2,41,2,729,25,0,0,,,,
Codec,2,41,2,730,25,0,0,,,,
Codec,2,41,2,731,25,0,0,,,,
Codec,2,41,2,732,25,0,0,,,,
Codec,2,41,2,735,25,0,0,,,,
Codec,2,41,2,736,25,0,0,,,,
Codec,2,41,2,737,25,0,0,,,,
Codec,2,41,2,749,1,0,0,,,,
Codec,2,41,2,750,1,0,0,,,,
Codec,2,41,2,751,1,0,0,,,,
Codec,2,41,2,752,1,0,0,,,,
Codec,2,41,2,753,1,0,0,,,,
Codec,2,41,2,754,1,0,0,,,,
Codec,2,41,2,755,1,0,0,,,,
Codec,2,41,2,756,1,0,0,,,,
Codec,2,41,2,757,1,0,0,,,,
Codec,2,41,2,758,1,0,0,,,,
Codec,2,41,2,759,1,0,0,,,,
Codec,2,41,2,762,1,0,0,,,,
