Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,Rank,AVG Rank,High Rank
Bears,21,1724,1,62,8,1,0.9953810624,1,9.625,1
Bears,21,1724,1,63,8,1,0.9953810624,1,,
Bears,21,1724,1,66,8,1,0.9953810624,1,,
Bears,21,1724,1,69,8,1,0.9953810624,1,,
Bears,21,1724,1,70,8,1,0.9953810624,1,,
Bears,21,1724,1,73,8,1,0.9953810624,1,,
Bears,21,1724,1,74,8,1,0.9953810624,1,,
Bears,21,1724,1,38,15,1,0.9913743531,8,,
Bears,21,1724,1,41,15,1,0.9913743531,8,,
Bears,21,1724,1,42,15,1,0.9913743531,8,,
Bears,21,1724,1,43,15,1,0.9913743531,8,,
Bears,21,1724,1,60,15,1,0.9913743531,8,,
Bears,21,1724,1,133,15,1,0.9913743531,8,,
Bears,21,1724,1,53,17,1,0.9902354968,14,,
Bears,21,1724,1,56,17,1,0.9902354968,14,,
Bears,21,1724,1,57,17,1,0.9902354968,14,,
Bears,21,1724,1,48,30,1,0.9828962372,17,,
Bears,21,1724,1,52,30,1,0.9828962372,17,,
Bears,21,1724,1,130,43,1,0.9756649689,19,,
Bears,21,1724,1,132,43,1,0.9756649689,19,,
Bears,21,1724,1,54,18,0,0,21,,
Bears,21,1724,1,58,2,0,0,21,,
Bears,21,1724,1,71,9,0,0,21,,
Bears,21,1724,1,78,20,0,0,21,,
Bears,21,1724,1,135,28,0,0,21,,
Bears,21,1724,1,136,28,0,0,21,,
Bears,21,1724,1,137,28,0,0,21,,
Bears,21,1724,1,87,0,0,Error,#VALUE!,,
Bears,21,1724,1,91,0,0,Error,#VALUE!,,
Bears,21,1724,1,94,0,0,Error,#VALUE!,,
Bears,21,1724,1,97,0,0,Error,#VALUE!,,
Bears,21,1724,1,102,0,0,Error,#VALUE!,,
Bears,21,1724,1,105,0,0,Error,#VALUE!,,
Bears,21,1724,1,108,0,0,Error,#VALUE!,,
Bears,21,1724,1,111,0,0,Error,#VALUE!,,
Bears,21,1724,1,140,0,0,Error,#VALUE!,,
Bears,21,1724,1,142,0,0,Error,#VALUE!,,
Bears,21,1724,1,145,0,0,Error,#VALUE!,,
Bears,21,1724,1,148,0,0,Error,#VALUE!,,
Bears,21,1724,1,149,0,0,Error,#VALUE!,,
Bears,21,1724,1,152,0,0,Error,#VALUE!,,
