Bugname,id,total pass,total fail,line no,pass cover,fail cover,suspiciousness_score,Rank,AVG Rank,High Rank
Bears,141,252,4,22,1,1,0.984375,1,4.5,2
Bears,141,252,4,17,12,3,0.9402985075,2,,
Bears,141,252,4,19,12,3,0.9402985075,2,,
Bears,141,252,4,21,12,1,0.84,4,,
Bears,141,252,4,145,28,1,0.6923076923,5,,
Bears,141,252,4,146,28,1,0.6923076923,5,,
Bears,141,252,4,93,90,2,0.5833333333,7,,
Bears,141,252,4,94,90,2,0.5833333333,7,,
Bears,141,252,4,95,90,2,0.5833333333,7,,
Bears,141,252,4,96,90,2,0.5833333333,7,,
Bears,141,252,4,97,90,2,0.5833333333,7,,
Bears,141,252,4,98,90,2,0.5833333333,7,,
Bears,141,252,4,99,90,2,0.5833333333,7,,
Bears,141,252,4,177,150,2,0.4565217391,14,,
Bears,141,252,4,173,151,2,0.4548736462,15,,
Bears,141,252,4,176,151,2,0.4548736462,15,,
Bears,141,252,4,102,133,1,0.3214285714,17,,
Bears,141,252,4,103,133,1,0.3214285714,17,,
Bears,141,252,4,106,23,0,0,19,,
Bears,141,252,4,108,23,0,0,19,,
Bears,141,252,4,110,23,0,0,19,,
Bears,141,252,4,113,41,0,0,19,,
Bears,141,252,4,114,41,0,0,19,,
Bears,141,252,4,117,47,0,0,19,,
Bears,141,252,4,118,47,0,0,19,,
Bears,141,252,4,121,28,0,0,19,,
Bears,141,252,4,122,28,0,0,19,,
Bears,141,252,4,125,20,0,0,19,,
Bears,141,252,4,126,20,0,0,19,,
Bears,141,252,4,129,15,0,0,19,,
Bears,141,252,4,130,15,0,0,19,,
Bears,141,252,4,133,26,0,0,19,,
Bears,141,252,4,134,26,0,0,19,,
Bears,141,252,4,137,14,0,0,19,,
Bears,141,252,4,138,14,0,0,19,,
Bears,141,252,4,141,25,0,0,19,,
Bears,141,252,4,142,25,0,0,19,,
Bears,141,252,4,149,35,0,0,19,,
Bears,141,252,4,150,35,0,0,19,,
Bears,141,252,4,153,5,0,0,19,,
Bears,141,252,4,154,5,0,0,19,,
Bears,141,252,4,157,25,0,0,19,,
Bears,141,252,4,158,25,0,0,19,,
Bears,141,252,4,161,110,0,0,19,,
Bears,141,252,4,162,110,0,0,19,,
Bears,141,252,4,165,24,0,0,19,,
Bears,141,252,4,166,24,0,0,19,,
Bears,141,252,4,169,24,0,0,19,,
Bears,141,252,4,170,24,0,0,19,,
Bears,141,252,4,180,19,0,0,19,,
Bears,141,252,4,181,19,0,0,19,,
Bears,141,252,4,184,14,0,0,19,,
Bears,141,252,4,185,14,0,0,19,,
Bears,141,252,4,188,66,0,0,19,,
Bears,141,252,4,191,66,0,0,19,,
Bears,141,252,4,194,18,0,0,19,,
Bears,141,252,4,196,18,0,0,19,,
Bears,141,252,4,199,23,0,0,19,,
Bears,141,252,4,201,23,0,0,19,,
Bears,141,252,4,204,15,0,0,19,,
Bears,141,252,4,206,15,0,0,19,,
Bears,141,252,4,209,19,0,0,19,,
Bears,141,252,4,211,19,0,0,19,,
Bears,141,252,4,214,17,0,0,19,,
Bears,141,252,4,215,17,0,0,19,,
Bears,141,252,4,218,32,0,0,19,,
Bears,141,252,4,219,32,0,0,19,,
Bears,141,252,4,222,21,0,0,19,,
Bears,141,252,4,223,21,0,0,19,,
Bears,141,252,4,226,57,0,0,19,,
Bears,141,252,4,227,57,0,0,19,,
Bears,141,252,4,230,11,0,0,19,,
Bears,141,252,4,231,11,0,0,19,,
Bears,141,252,4,234,52,0,0,19,,
Bears,141,252,4,235,52,0,0,19,,
Bears,141,252,4,238,12,0,0,19,,
Bears,141,252,4,239,12,0,0,19,,
Bears,141,252,4,244,53,0,0,19,,
Bears,141,252,4,246,53,0,0,19,,
Bears,141,252,4,247,53,0,0,19,,
Bears,141,252,4,261,53,0,0,19,,
Bears,141,252,4,24,11,0,0,19,,
